index,title,year,published,district,url
62,Oatley 2015,2015,2015-03-28,Oatley,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Oatley.zip
63,Orange 2015,2015,2015-03-28,Orange,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Orange.zip
64,Oxley 2015,2015,2015-03-28,Oxley,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Oxley.zip
65,Parramatta 2015,2015,2015-03-28,Parramatta,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Parramatta.zip
66,Penrith 2015,2015,2015-03-28,Penrith,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Penrith.zip
67,Pittwater 2015,2015,2015-03-28,Pittwater,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Pittwater.zip
68,Port Macquarie 2015,2015,2015-03-28,Port Macquarie,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Port%20Macquarie.zip
69,Port Stephens 2015,2015,2015-03-28,Port Stephens,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Port%20Stephens.zip
70,Prospect 2015,2015,2015-03-28,Prospect,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Prospect.zip
71,Riverstone 2015,2015,2015-03-28,Riverstone,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Riverstone.zip
72,Rockdale 2015,2015,2015-03-28,Rockdale,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Rockdale.zip
73,Ryde 2015,2015,2015-03-28,Ryde,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Ryde.zip
74,Seven Hills 2015,2015,2015-03-28,Seven Hills,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Seven%20Hills.zip
75,Shellharbour 2015,2015,2015-03-28,Shellharbour,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Shellharbour.zip
76,South Coast 2015,2015,2015-03-28,South Coast,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_South%20Coast.zip
77,Strathfield 2015,2015,2015-03-28,Strathfield,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Strathfield.zip
78,Summer Hill 2015,2015,2015-03-28,Summer Hill,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Summer%20Hill.zip
79,Swansea 2015,2015,2015-03-28,Swansea,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Swansea.zip
80,Sydney 2015,2015,2015-03-28,Sydney,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Sydney.zip
81,Tamworth 2015,2015,2015-03-28,Tamworth,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Tamworth.zip
82,Terrigal 2015,2015,2015-03-28,Terrigal,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Terrigal.zip
83,The Entrance 2015,2015,2015-03-28,The Entrance,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_The%20Entrance.zip
84,Tweed 2015,2015,2015-03-28,Tweed,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Tweed.zip
85,Upper Hunter 2015,2015,2015-03-28,Upper Hunter,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Upper%20Hunter.zip
86,Vaucluse 2015,2015,2015-03-28,Vaucluse,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Vaucluse.zip
87,Wagga Wagga 2015,2015,2015-03-28,Wagga Wagga,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Wagga%20Wagga.zip
88,Wakehurst 2015,2015,2015-03-28,Wakehurst,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Wakehurst.zip
89,Wallsend 2015,2015,2015-03-28,Wallsend,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Wallsend.zip
90,Willoughby 2015,2015,2015-03-28,Willoughby,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Willoughby.zip
91,Wollondilly 2015,2015,2015-03-28,Wollondilly,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Wollondilly.zip
92,Wollongong 2015,2015,2015-03-28,Wollongong,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Wollongong.zip
93,Wyong 2015,2015,2015-03-28,Wyong,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Wyong.zip
94,Albury 2019,2019,2019-03-23,Albury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Albury.zip
95,Auburn 2019,2019,2019-03-23,Auburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Auburn.zip
96,Ballina 2019,2019,2019-03-23,Ballina,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Ballina.zip
97,Balmain 2019,2019,2019-03-23,Balmain,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Balmain.zip
98,Bankstown 2019,2019,2019-03-23,Bankstown,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Bankstown.zip
99,Barwon 2019,2019,2019-03-23,Barwon,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Barwon.zip
100,Bathurst 2019,2019,2019-03-23,Bathurst,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Bathurst.zip
101,Baulkham Hills 2019,2019,2019-03-23,Baulkham Hills,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Baulkham%20Hills.zip
102,Bega 2019,2019,2019-03-23,Bega,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Bega.zip
103,Blacktown 2019,2019,2019-03-23,Blacktown,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Blacktown.zip
104,Blue Mountains 2019,2019,2019-03-23,Blue Mountains,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Blue%20Mountains.zip
105,Cabramatta 2019,2019,2019-03-23,Cabramatta,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Cabramatta.zip
106,Camden 2019,2019,2019-03-23,Camden,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Camden.zip
107,Campbelltown 2019,2019,2019-03-23,Campbelltown,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Campbelltown.zip
108,Canterbury 2019,2019,2019-03-23,Canterbury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Canterbury.zip
109,Castle Hill 2019,2019,2019-03-23,Castle Hill,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Castle%20Hill.zip
110,Cessnock 2019,2019,2019-03-23,Cessnock,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Cessnock.zip
111,Charlestown 2019,2019,2019-03-23,Charlestown,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Charlestown.zip
112,Clarence 2019,2019,2019-03-23,Clarence,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Clarence.zip
113,Coffs Harbour 2019,2019,2019-03-23,Coffs Harbour,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Coffs%20Harbour.zip
114,Coogee 2019,2019,2019-03-23,Coogee,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Coogee.zip
115,Cootamundra 2019,2019,2019-03-23,Cootamundra,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Cootamundra.zip
116,Cronulla 2019,2019,2019-03-23,Cronulla,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Cronulla.zip
117,Davidson 2019,2019,2019-03-23,Davidson,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Davidson.zip
118,Drummoyne 2019,2019,2019-03-23,Drummoyne,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Drummoyne.zip
119,Dubbo 2019,2019,2019-03-23,Dubbo,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Dubbo.zip
120,East Hills 2019,2019,2019-03-23,East Hills,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20East%20Hills.zip
121,Epping 2019,2019,2019-03-23,Epping,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Epping.zip
122,Fairfield 2019,2019,2019-03-23,Fairfield,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Fairfield.zip
